State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SC,"81,969","76,284","73,455","69,832","87,558","77,346","67,699","66,176","69,381","73,251","65,064","78,568","77,077","83,883","79,895","87,805","83,353","80,884","83,872","91,528","71,184","52,308","69,636","75,407","80,276","66,598","89,899","95,973","83,299","97,884","106,617","107,666","110,649","110,225","114,631","124,701","131,794","131,983","129,956","96,967","92,462","70,578","80,645","103,801","97,441","105,466","100,539","97,885","106,872","121,866","134,412","135,879","138,964","156,589","158,548","151,230","150,318","152,847","165,199","166,366","173,989","170,674",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SD,"13,974","13,609","17,252","31,784","33,645","41,595","51,565","52,576","59,858","67,419","70,185","82,558","78,339","51,534","60,394","83,960","74,830","57,133","72,806","67,819","63,775","58,639","60,381","61,830","64,092","60,186","64,483","60,201","59,354","52,289","44,283","44,067","41,909","31,197","57,892","66,895","87,018","96,328","63,218","73,106","63,439","41,085","52,277","57,222","60,251","61,504","71,514","69,575","82,021","106,123","128,953","154,349","140,762","128,968","140,135","138,038","149,018","148,279","158,194","169,269","171,078","205,338",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TN,"138,708","136,653","145,125","127,030","141,564","138,006","128,629","147,297","132,020","131,914","138,417","153,090","173,103","177,886","180,418","177,299","160,069","176,225","163,042","207,250","160,372","136,647","184,144","189,453","203,068","166,411","156,473","176,511","150,409","205,997","165,010","178,555","168,952","152,077","186,064","163,369","175,612","161,831","158,854","131,836","120,501","138,865","148,413","184,237","179,906","174,097","151,732","126,960","150,056","192,435","176,941","191,304","181,037","226,381","194,804","196,878","170,822","182,761","199,132","191,569","211,994","198,765",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TX,"50,155","52,023","47,721","42,718","43,884","48,967","51,980","49,944","62,939","64,351","62,757","60,471","67,560","78,102","76,691","75,872","75,965","82,566","84,175","89,721","65,819","70,516","80,753","78,066","88,645","96,300","113,054","120,707","111,778","127,595","117,290","122,315","136,103","117,748","115,384","122,104","112,104","126,373","115,561","98,723","101,490","102,165","123,648","117,593","123,497","140,202","193,518","250,482","351,072","352,946","458,187","524,901","533,395","584,228","634,054","672,832","820,815","915,338","1,009,917","1,071,087","1,149,538","1,293,066",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UT,"5,494","4,591","6,192","5,699","10,151","11,501","10,173","13,266","12,791","13,957","10,079","12,615","15,234","14,683","12,440","14,074","14,974","11,709","12,093","13,634","13,025","12,388","16,761","21,168","21,829","18,721","23,017","14,264","11,781","11,680","10,778","12,555","12,402","14,642","13,808","15,540","17,235","20,402","20,533","21,236","16,401","12,128","11,230","10,520","10,715","15,773","15,066","14,230","17,793","20,364","22,771","31,282","28,026","25,011","29,679","33,778","47,601","64,181","61,286","60,089","61,965","67,954",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VA,"69,706","66,456","67,678","64,267","63,580","63,439","64,055","61,774","63,863","64,159","62,711","66,364","70,488","69,214","66,085","66,861","76,045","73,803","86,397","95,181","85,571","79,270","93,614","95,982","103,631","101,913","86,471","88,065","80,435","98,719","105,874","107,612","110,879","119,114","123,271","126,209","139,571","125,994","126,110","122,830","117,047","95,661","82,137","110,936","117,963","132,464","133,344","135,794","140,866","144,884","143,772","136,050","134,372","152,518","167,411","169,053","167,391","167,010","183,826","169,910","170,439","189,262",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VT,"17,339","15,369","15,682","13,995","13,500","14,396","15,557","15,167","15,086","16,109","14,717","14,594","15,955","17,149","16,134","16,361","19,325","19,373","20,504","22,340","22,881","24,825","22,667","26,554","26,036","26,890","23,871","23,132","21,704","20,018","19,484","17,310","16,014","18,238","19,068","19,167","21,867","19,949","20,290","20,800","21,389","17,342","22,715","24,055","22,042","24,499","27,854","19,025","28,824","34,193","34,817","33,019","28,836","36,145","35,555","41,531","38,701","40,945","44,258","43,772","39,823","40,260",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WA,"428,129","455,762","476,680","514,264","557,343","581,530","617,245","678,045","736,245","772,827","796,121","817,275","854,559","783,243","926,539","935,362","1,051,188","773,465","1,002,202","900,631","951,633","1,074,536","1,008,174","1,004,891","981,713","917,386","943,085","850,807","835,500","855,805","1,004,696","1,007,895","806,664","797,958","781,385","944,237","1,110,151","1,160,946","904,688","1,084,122","911,481","660,974","893,664","834,753","819,551","815,363","937,172","894,490","898,118","853,813","839,885","1,080,055","1,036,980","942,926","957,292","891,733","948,976","967,707","955,305","797,587","884,394","850,547",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WI,"64,968","60,619","61,695","55,114","54,980","61,690","60,892","61,003","65,830","62,804","58,313","61,793","65,646","67,818","65,621","66,067","69,570","74,518","90,777","92,876","187,312","196,641","195,454","217,664","215,483","217,863","161,833","152,928","157,330","124,135","103,244","109,956","110,394","105,835","108,116","114,213","128,254","128,387","110,682","116,297","115,703","128,460","110,928","118,300","108,704","145,127","140,855","142,051","160,022","153,699","186,264","186,444","178,205","188,808","195,664","200,490","200,299","198,839","203,443","202,897","183,061","178,716",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WV,"23,464","23,666","23,755","21,029","21,666","20,560","20,101","22,471","21,573","21,430","21,152","22,281","24,771","24,229","23,779","22,798","24,758","24,320","27,252","33,875","23,421","22,023","25,803","23,389","25,619","25,050","31,416","28,499","29,016","25,599","18,512","16,399","18,857","18,684","18,865","19,566","22,054","17,598","16,213","14,809","17,406","15,165","16,225","21,237","20,765","28,742","28,884","26,873","33,587","50,902","52,218","53,542","51,398","61,073","57,169","44,994","47,885","49,947","53,573","49,681","48,020","48,756",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WY,"8,174","8,273","11,746","10,641","10,613","10,793","11,106","9,641","11,560","12,992","12,129","15,331","13,492","14,024","16,196","13,226","12,547","9,937","12,774","13,906","14,250","12,125","12,243","15,780","17,199","14,999","16,233","11,118","11,399","10,475","9,529","10,779","9,262","10,749","12,356","10,974","14,917","16,280","15,733","14,158","15,011","14,658","12,279","11,638","14,039","19,291","19,573","18,963","22,477","35,036","45,955","61,810","55,484","54,820","56,015","52,372","58,491","59,425","54,920","57,094","68,407","91,943",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US,"2,928,205","2,952,227","3,117,444","3,096,431","3,225,249","3,395,816","3,432,463","3,690,213","3,772,655","4,094,893","4,070,021","4,262,212","4,382,009","4,410,938","4,741,851","4,687,119","4,727,151","4,208,966","5,005,439","5,122,854","5,424,534","5,417,152","5,980,929","6,495,612","6,438,347","6,084,017","6,111,140","5,624,499","5,456,754","6,234,646","6,041,875","6,067,765","5,820,528","6,079,341","5,987,124","6,559,334","7,012,355","7,011,598","6,491,277","6,514,657","6,104,207","5,164,253","5,726,026","5,944,059","6,074,599","6,231,821","6,636,591","6,522,719","7,174,060","7,607,468","8,265,583","9,209,646","8,852,895","9,464,268","9,761,070","9,749,471","10,408,644","11,138,359","11,369,899","11,468,314","11,518,077","12,139,977",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
