State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GA,"96,016","94,590","96,771","103,171","118,296","108,022","109,456","109,475","106,371","105,812","98,222","109,007","114,745","125,605","121,581","123,427","135,157","136,122","138,170","149,144","144,038","122,747","143,871","151,110","159,451","146,207","141,713","146,038","138,748","218,604","236,225","227,699","234,696","240,389","240,939","249,128","256,860","262,479","256,573","231,115","222,186","192,068","283,715","221,675","226,761","218,423","210,818","205,849","198,357","220,565","247,287","246,831","237,974","284,011","297,134","300,896","298,214","293,604","303,573","314,211","328,340","332,568",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI,292,258,214,446,"1,429","1,265","1,309","1,389","1,657","1,773","1,559","1,283","1,491","1,528","1,550","1,498","1,663","1,355","1,143","1,258","12,808","13,585","13,382","14,920","15,372","15,307","17,315","18,834","20,427","28,875","27,937","27,516","26,800","27,829","25,404","24,608","24,087","22,502","21,656","21,767","20,386","12,395","10,462","13,318","13,786","14,186","15,528","16,995","19,327","19,688","18,177","20,402","21,430","25,989","27,996","29,420","32,368","32,003","31,126","29,839","31,467","35,105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IA,"15,884","15,713","15,580","13,403","12,798","15,160","14,994","14,243","16,244","15,250","16,080","16,122","17,235","16,691","16,976","17,029","15,187","17,088","19,287","18,947","58,556","64,176","66,907","72,089","75,557","75,925","99,976","107,657","111,500","77,651","74,025","76,130","80,204","80,903","85,415","84,388","88,728","80,058","79,013","84,399","80,729","76,705","85,207","93,652","111,271","124,866","142,841","176,851","213,180","289,408","335,054","353,478","370,566","389,728","406,807","429,835","452,667","473,227","478,666","518,892","556,341","599,196",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,"77,688","70,403","73,984","73,227","76,892","79,778","81,379","82,252","80,804","76,228","85,735","89,445","92,776","97,216","111,472","118,011","121,380","85,968","119,334","113,729","113,407","115,694","137,262","152,320","156,188","132,234","146,356","101,447","87,409","124,844","119,701","116,219","95,136","125,883","106,260","139,475","164,045","179,013","159,820","167,399","141,037","104,604","113,189","108,868","112,080","122,267","147,673","127,411","132,857","136,273","132,245","177,760","156,600","140,544","155,787","154,481","153,289","174,569","180,196","171,550","157,879","145,902",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IL,"33,020","32,237","32,864","34,418","34,491","35,036","37,080","37,444","40,029","41,716","41,064","40,628","41,490","43,861","43,952","42,898","47,471","51,314","62,925","64,626","92,366","100,323","108,434","126,417","124,741","130,268","141,294","151,533","160,014","131,790","102,981","108,933","114,816","98,172","100,879","97,861","83,498","91,180","91,481","93,839","97,687","100,875","111,585","127,073","126,588","109,784","109,454","130,912","160,653","186,174","216,383","233,916","242,375","268,752","278,073","270,570","276,545","286,646","277,668","293,917","297,310","335,451",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IN,"24,556","24,199","24,089","24,007","23,168","23,060","24,315","27,363","28,677","29,971","28,494","27,156","30,826","32,102","32,017","31,342","36,021","38,768","45,814","51,858","56,145","59,181","59,095","67,925","65,106","69,669","71,973","76,758","80,134","69,984","60,812","61,906","63,036","53,578","51,764","54,693","49,717","47,036","44,517","47,598","48,674","53,158","55,332","57,491","58,085","63,826","55,594","67,602","99,311","118,682","148,291","156,049","144,690","157,896","162,947","173,327","183,792","183,807","190,075","187,427","182,401","212,543",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KS,"4,123","3,855","3,670","3,798","3,674","3,499","3,529","3,349","3,459","3,280","3,730","3,941","5,702","6,031","5,915","5,811","6,526","6,852","7,540","7,928","9,088","8,483","10,392","10,707","14,676","14,844","21,818","20,517","21,727","17,714","13,869","14,307","14,248","13,513","13,084","12,949","11,792","10,349","9,895","10,142","9,920","10,929","19,560","21,917","19,571","22,986","28,423","36,181","58,223","66,668","75,257","81,476","90,046","132,989","151,818","149,870","179,062","219,766","222,816","239,094","260,617","276,717",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KY,"50,751","48,648","51,423","47,591","47,022","47,438","49,311","61,073","53,358","51,326","57,023","61,912","66,566","67,629","66,669","66,857","68,110","64,140","70,514","82,531","55,822","55,159","69,516","65,792","77,261","73,167","68,813","66,840","61,978","77,084","53,391","59,493","61,359","50,100","57,565","51,655","55,609","48,522","43,807","38,509","36,286","53,539","65,077","70,509","71,188","74,724","70,058","65,820","71,481","85,039","84,515","90,457","80,329","96,473","96,645","89,402","91,858","103,410","103,816","101,676","100,789","102,456",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA,"38,992","37,174","36,785","39,147","39,291","38,299","39,754","37,685","40,791","40,698","41,620","41,912","44,819","45,748","44,928","42,358","45,170","46,692","47,825","44,717","64,707","68,263","69,667","74,654","78,816","79,343","102,343","102,199","104,615","129,814","125,516","128,100","131,568","138,255","148,325","152,242","152,597","149,694","147,538","148,444","142,352","136,129","144,121","152,633","189,772","151,854","150,707","151,977","114,723","119,238","134,463","135,127","130,783","151,598","173,371","158,287","176,181","161,570","160,945","150,526","144,854","144,874",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,"53,354","52,769","53,590","52,762","54,148","55,636","58,117","58,183","62,101","64,611","65,043","61,247","59,302","56,501","56,959","53,325","60,502","63,357","67,677","74,298","72,495","73,207","66,642","78,596","65,032","65,453","69,642","60,278","61,835","66,832","65,262","66,582","68,432","69,749","73,476","72,547","78,433","72,315","66,413","65,167","69,461","48,003","46,804","50,418","51,781","46,953","62,215","59,616","60,558","69,061","75,267","77,232","73,171","82,560","87,252","88,979","93,041","95,856","101,071","99,536","94,678","103,215",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
