geotype,geoid,geoname,varname,x2021
county,2070,"Dillingham Census Area, Alaska",co2limits,66.29
county,2090,"Fairbanks North Star Borough, Alaska",co2limits,63.44
county,2100,"Haines Borough, Alaska",co2limits,62.23
county,2105,"Hoonah-Angoon Census Area, Alaska",co2limits,59.82
county,2110,"Juneau City and Borough, Alaska",co2limits,67.13
county,2122,"Kenai Peninsula Borough, Alaska",co2limits,64.93
county,2130,"Ketchikan Gateway Borough, Alaska",co2limits,67.47
county,2150,"Kodiak Island Borough, Alaska",co2limits,67.59
county,2158,"Kusilvak Census Area, Alaska",co2limits,65.97
county,2164,"Lake and Peninsula Borough, Alaska",co2limits,65.38
county,2170,"Matanuska-Susitna Borough, Alaska",co2limits,63.72
county,2180,"Nome Census Area, Alaska",co2limits,66.6
county,2185,"North Slope Borough, Alaska",co2limits,66.58
county,2188,"Northwest Arctic Borough, Alaska",co2limits,66.27
county,2195,"Petersburg Borough, Alaska",co2limits,67.56
county,2195,"Petersburg Census Area, Alaska",co2limits,
county,2198,"Prince of Wales-Hyder Census Area, Alaska",co2limits,65.84
county,2220,"Sitka City and Borough, Alaska",co2limits,68.13
county,2230,"Skagway Municipality, Alaska",co2limits,56.84
county,2240,"Southeast Fairbanks Census Area, Alaska",co2limits,65.11
county,2261,"Valdez-Cordova Census Area, Alaska",co2limits,64.82
county,2270,"Wade Hampton Census Area, Alaska",co2limits,
county,2275,"Wrangell City and Borough, Alaska",co2limits,66.49
county,2282,"Yakutat City and Borough, Alaska",co2limits,65.86
county,2290,"Yukon-Koyukuk Census Area, Alaska",co2limits,63.73
county,4001,"Apache County, Arizona",co2limits,59.45
county,4003,"Cochise County, Arizona",co2limits,58.95
county,4005,"Coconino County, Arizona",co2limits,66.17
county,4007,"Gila County, Arizona",co2limits,57.33
county,4009,"Graham County, Arizona",co2limits,56.81
county,4011,"Greenlee County, Arizona",co2limits,57.33
county,4012,"La Paz County, Arizona",co2limits,58.11
county,4013,"Maricopa County, Arizona",co2limits,62.09
county,4015,"Mohave County, Arizona",co2limits,52.73
county,4017,"Navajo County, Arizona",co2limits,60.97
county,4019,"Pima County, Arizona",co2limits,72.09
county,4021,"Pinal County, Arizona",co2limits,62.58
county,4023,"Santa Cruz County, Arizona",co2limits,71.4
county,4025,"Yavapai County, Arizona",co2limits,60.42
county,4027,"Yuma County, Arizona",co2limits,64.54
county,5001,"Arkansas County, Arkansas",co2limits,56.71
county,5003,"Ashley County, Arkansas",co2limits,53.5
county,5005,"Baxter County, Arkansas",co2limits,52.81
county,5007,"Benton County, Arkansas",co2limits,59.4
county,5009,"Boone County, Arkansas",co2limits,52.73
county,5011,"Bradley County, Arkansas",co2limits,59.75
county,5013,"Calhoun County, Arkansas",co2limits,52.71
county,5015,"Carroll County, Arkansas",co2limits,60.12
county,5017,"Chicot County, Arkansas",co2limits,68.13
county,5019,"Clark County, Arkansas",co2limits,62.99
county,5021,"Clay County, Arkansas",co2limits,53.07
county,5023,"Cleburne County, Arkansas",co2limits,51.9
county,5025,"Cleveland County, Arkansas",co2limits,49.87
county,5027,"Columbia County, Arkansas",co2limits,57.66
county,5029,"Conway County, Arkansas",co2limits,58.35
county,5031,"Craighead County, Arkansas",co2limits,57.76
county,5033,"Crawford County, Arkansas",co2limits,50.85
county,5035,"Crittenden County, Arkansas",co2limits,66.38
county,5037,"Cross County, Arkansas",co2limits,56.7
county,5039,"Dallas County, Arkansas",co2limits,60.11
county,5041,"Desha County, Arkansas",co2limits,61.8
county,5043,"Drew County, Arkansas",co2limits,59.63
county,5045,"Faulkner County, Arkansas",co2limits,60.66
county,5047,"Franklin County, Arkansas",co2limits,51.81
county,5049,"Fulton County, Arkansas",co2limits,53.11
county,5051,"Garland County, Arkansas",co2limits,58.39
county,5053,"Grant County, Arkansas",co2limits,49.93
county,5055,"Greene County, Arkansas",co2limits,53.54
county,5057,"Hempstead County, Arkansas",co2limits,58.39
county,5059,"Hot Spring County, Arkansas",co2limits,53.72
county,5061,"Howard County, Arkansas",co2limits,56.05
county,5063,"Independence County, Arkansas",co2limits,41.88
county,5065,"Izard County, Arkansas",co2limits,55.63
county,5067,"Jackson County, Arkansas",co2limits,56.85
county,5069,"Jefferson County, Arkansas",co2limits,60.15
county,5071,"Johnson County, Arkansas",co2limits,56.42
county,5073,"Lafayette County, Arkansas",co2limits,58.03
county,5075,"Lawrence County, Arkansas",co2limits,51.51
county,5077,"Lee County, Arkansas",co2limits,65.92
county,5079,"Lincoln County, Arkansas",co2limits,55.99
county,5081,"Little River County, Arkansas",co2limits,50.07
county,5083,"Logan County, Arkansas",co2limits,52.99
county,5085,"Lonoke County, Arkansas",co2limits,52.99
county,5087,"Madison County, Arkansas",co2limits,54.57
county,5089,"Marion County, Arkansas",co2limits,54.63
county,5091,"Miller County, Arkansas",co2limits,55.8
county,5093,"Mississippi County, Arkansas",co2limits,59.12
county,5095,"Monroe County, Arkansas",co2limits,61.46
county,5097,"Montgomery County, Arkansas",co2limits,53.48
county,5099,"Nevada County, Arkansas",co2limits,57.07
county,5101,"Newton County, Arkansas",co2limits,52.6
county,5103,"Ouachita County, Arkansas",co2limits,60.01
county,5105,"Perry County, Arkansas",co2limits,54.54
county,5107,"Phillips County, Arkansas",co2limits,67.6
county,5109,"Pike County, Arkansas",co2limits,51.96
county,5111,"Poinsett County, Arkansas",co2limits,52.56
county,5113,"Polk County, Arkansas",co2limits,53.65
county,5115,"Pope County, Arkansas",co2limits,54.91
county,5117,"Prairie County, Arkansas",co2limits,54.73
county,5119,"Pulaski County, Arkansas",co2limits,68.03
county,5121,"Randolph County, Arkansas",co2limits,53.15
county,5123,"St. Francis County, Arkansas",co2limits,64.42
county,5125,"Saline County, Arkansas",co2limits,54.34
county,5127,"Scott County, Arkansas",co2limits,53.05
county,5129,"Searcy County, Arkansas",co2limits,55.2
county,5131,"Sebastian County, Arkansas",co2limits,59.09
county,5133,"Sevier County, Arkansas",co2limits,60.05
county,5135,"Sharp County, Arkansas",co2limits,54.86
county,5137,"Stone County, Arkansas",co2limits,54.94
county,5139,"Union County, Arkansas",co2limits,52.81
county,5141,"Van Buren County, Arkansas",co2limits,53.96
county,5143,"Washington County, Arkansas",co2limits,65.42
county,5145,"White County, Arkansas",co2limits,54.08
county,5147,"Woodruff County, Arkansas",co2limits,58.31
county,5149,"Yell County, Arkansas",co2limits,54.74
county,6001,"Alameda County, California",co2limits,78.41
county,6003,"Alpine County, California",co2limits,71.89
county,6005,"Amador County, California",co2limits,60.35
county,6007,"Butte County, California",co2limits,65.13
county,6009,"Calaveras County, California",co2limits,59.83
county,6011,"Colusa County, California",co2limits,61.59
county,6013,"Contra Costa County, California",co2limits,74.4
county,6015,"Del Norte County, California",co2limits,62.15
county,6017,"El Dorado County, California",co2limits,61.81
county,6019,"Fresno County, California",co2limits,68.44
county,6021,"Glenn County, California",co2limits,58.3
county,6023,"Humboldt County, California",co2limits,71.65
county,6025,"Imperial County, California",co2limits,70.63
county,6027,"Inyo County, California",co2limits,66.79
county,6029,"Kern County, California",co2limits,64.24
county,6031,"Kings County, California",co2limits,64.32
county,6033,"Lake County, California",co2limits,68.85
county,6035,"Lassen County, California",co2limits,54.34
county,6037,"Los Angeles County, California",co2limits,73.02
county,6039,"Madera County, California",co2limits,65.33
county,6041,"Marin County, California",co2limits,74.84
county,6043,"Mariposa County, California",co2limits,65.86
county,6045,"Mendocino County, California",co2limits,71.03
county,6047,"Merced County, California",co2limits,67.49
county,6049,"Modoc County, California",co2limits,58.66
county,6051,"Mono County, California",co2limits,71.77
county,6053,"Monterey County, California",co2limits,72.38
county,6055,"Napa County, California",co2limits,71.69
county,6057,"Nevada County, California",co2limits,67.82
county,6059,"Orange County, California",co2limits,67.19
county,6061,"Placer County, California",co2limits,62.79
county,6063,"Plumas County, California",co2limits,61.31
county,6065,"Riverside County, California",co2limits,65.12
county,6067,"Sacramento County, California",co2limits,71.13
county,6069,"San Benito County, California",co2limits,69.14
county,6071,"San Bernardino County, California",co2limits,64.33
county,6073,"San Diego County, California",co2limits,65.91
county,6075,"San Francisco County, California",co2limits,78.01
county,6077,"San Joaquin County, California",co2limits,64.93
county,6079,"San Luis Obispo County, California",co2limits,67.98
county,6081,"San Mateo County, California",co2limits,76.48
county,6083,"Santa Barbara County, California",co2limits,73.17
county,6085,"Santa Clara County, California",co2limits,73.8
county,6087,"Santa Cruz County, California",co2limits,76.34
county,6089,"Shasta County, California",co2limits,56.99
county,6091,"Sierra County, California",co2limits,61.08
county,6093,"Siskiyou County, California",co2limits,63.09
county,6095,"Solano County, California",co2limits,69.12
county,6097,"Sonoma County, California",co2limits,73.31
county,6099,"Stanislaus County, California",co2limits,62.06
county,6101,"Sutter County, California",co2limits,60.92
county,6103,"Tehama County, California",co2limits,56.93
county,6105,"Trinity County, California",co2limits,64.75
county,6107,"Tulare County, California",co2limits,62.22
county,6109,"Tuolumne County, California",co2limits,58.55
county,6111,"Ventura County, California",co2limits,67.67
county,6113,"Yolo County, California",co2limits,75.13
county,6115,"Yuba County, California",co2limits,60.52
county,8001,"Adams County, Colorado",co2limits,69.02
county,8003,"Alamosa County, Colorado",co2limits,67.09
county,8005,"Arapahoe County, Colorado",co2limits,68.6
county,8007,"Archuleta County, Colorado",co2limits,65.09
county,8009,"Baca County, Colorado",co2limits,51.58
county,8011,"Bent County, Colorado",co2limits,60.03
county,8013,"Boulder County, Colorado",co2limits,75.66
county,8014,"Broomfield County, Colorado",co2limits,72.99
county,8015,"Chaffee County, Colorado",co2limits,69.47
county,8017,"Cheyenne County, Colorado",co2limits,50.9
county,8019,"Clear Creek County, Colorado",co2limits,70.59
county,8021,"Conejos County, Colorado",co2limits,69.8
county,8023,"Costilla County, Colorado",co2limits,76.51
county,8025,"Crowley County, Colorado",co2limits,54.89
county,8027,"Custer County, Colorado",co2limits,56.58
county,8029,"Delta County, Colorado",co2limits,60.79
county,8031,"Denver County, Colorado",co2limits,75.95
county,8033,"Dolores County, Colorado",co2limits,59.83
county,8035,"Douglas County, Colorado",co2limits,67.9
county,8037,"Eagle County, Colorado",co2limits,72.21
county,8039,"Elbert County, Colorado",co2limits,56.39
county,8041,"El Paso County, Colorado",co2limits,63.5
county,8043,"Fremont County, Colorado",co2limits,54.59
county,8045,"Garfield County, Colorado",co2limits,68.18
county,8047,"Gilpin County, Colorado",co2limits,68.07
county,8049,"Grand County, Colorado",co2limits,68.53
county,8051,"Gunnison County, Colorado",co2limits,72.98
county,8053,"Hinsdale County, Colorado",co2limits,64.96
county,8055,"Huerfano County, Colorado",co2limits,68.53
county,8057,"Jackson County, Colorado",co2limits,59.86
county,8059,"Jefferson County, Colorado",co2limits,70.76
county,8061,"Kiowa County, Colorado",co2limits,49.84
county,8063,"Kit Carson County, Colorado",co2limits,54.22
county,8065,"Lake County, Colorado",co2limits,71.92
county,8067,"La Plata County, Colorado",co2limits,70.98
county,8069,"Larimer County, Colorado",co2limits,69.41
county,8071,"Las Animas County, Colorado",co2limits,68.58
county,8073,"Lincoln County, Colorado",co2limits,57.59
county,8075,"Logan County, Colorado",co2limits,55.31
county,8077,"Mesa County, Colorado",co2limits,59.98
county,8079,"Mineral County, Colorado",co2limits,67.34
county,8081,"Moffat County, Colorado",co2limits,43.7
county,8083,"Montezuma County, Colorado",co2limits,60.66
county,8085,"Montrose County, Colorado",co2limits,58.81
county,8087,"Morgan County, Colorado",co2limits,55.13
county,8089,"Otero County, Colorado",co2limits,63.46
county,8091,"Ouray County, Colorado",co2limits,73.12
county,8093,"Park County, Colorado",co2limits,62.72
county,8095,"Phillips County, Colorado",co2limits,52.5
county,8097,"Pitkin County, Colorado",co2limits,75.16
county,8099,"Prowers County, Colorado",co2limits,56.12
county,8101,"Pueblo County, Colorado",co2limits,62.85
county,8103,"Rio Blanco County, Colorado",co2limits,48.2
county,8105,"Rio Grande County, Colorado",co2limits,64.4
county,8107,"Routt County, Colorado",co2limits,67.3
county,8109,"Saguache County, Colorado",co2limits,70.0
county,8111,"San Juan County, Colorado",co2limits,72.19
county,8113,"San Miguel County, Colorado",co2limits,74.99
county,8115,"Sedgwick County, Colorado",co2limits,59.09
county,8117,"Summit County, Colorado",co2limits,70.71
county,8119,"Teller County, Colorado",co2limits,58.48
county,8121,"Washington County, Colorado",co2limits,54.01
county,8123,"Weld County, Colorado",co2limits,62.78
county,8125,"Yuma County, Colorado",co2limits,56.08
county,9001,"Fairfield County, Connecticut",co2limits,74.11
county,9003,"Hartford County, Connecticut",co2limits,69.99
county,9005,"Litchfield County, Connecticut",co2limits,62.54
county,9007,"Middlesex County, Connecticut",co2limits,68.99
county,9009,"New Haven County, Connecticut",co2limits,69.68
county,9011,"New London County, Connecticut",co2limits,66.38
county,9013,"Tolland County, Connecticut",co2limits,67.97
county,9015,"Windham County, Connecticut",co2limits,61.54
county,10001,"Kent County, Delaware",co2limits,64.71
county,10003,"New Castle County, Delaware",co2limits,71.45
county,10005,"Sussex County, Delaware",co2limits,64.66
county,11001,"District of Columbia, District of Columbia",co2limits,75.12
county,12001,"Alachua County, Florida",co2limits,72.16
county,12003,"Baker County, Florida",co2limits,50.06
county,12005,"Bay County, Florida",co2limits,56.91
county,12007,"Bradford County, Florida",co2limits,52.88
county,12009,"Brevard County, Florida",co2limits,63.26
county,12011,"Broward County, Florida",co2limits,72.8
county,12013,"Calhoun County, Florida",co2limits,54.19
county,12015,"Charlotte County, Florida",co2limits,61.69
county,12017,"Citrus County, Florida",co2limits,55.98
county,12019,"Clay County, Florida",co2limits,56.5
county,12021,"Collier County, Florida",co2limits,60.55
county,12023,"Columbia County, Florida",co2limits,56.63
county,12027,"DeSoto County, Florida",co2limits,63.47
county,12029,"Dixie County, Florida",co2limits,55.2
county,12031,"Duval County, Florida",co2limits,62.53
county,12033,"Escambia County, Florida",co2limits,62.95
county,12035,"Flagler County, Florida",co2limits,62.06
county,12037,"Franklin County, Florida",co2limits,57.87
county,12039,"Gadsden County, Florida",co2limits,69.11
county,12041,"Gilchrist County, Florida",co2limits,56.58
county,12043,"Glades County, Florida",co2limits,60.48
county,12045,"Gulf County, Florida",co2limits,57.05
county,12047,"Hamilton County, Florida",co2limits,57.82
county,12049,"Hardee County, Florida",co2limits,54.64
county,12051,"Hendry County, Florida",co2limits,69.51
county,12053,"Hernando County, Florida",co2limits,59.71
county,12055,"Highlands County, Florida",co2limits,59.34
county,12057,"Hillsborough County, Florida",co2limits,69.09
county,12059,"Holmes County, Florida",co2limits,47.86
county,12061,"Indian River County, Florida",co2limits,61.19
county,12063,"Jackson County, Florida",co2limits,55.36
county,12065,"Jefferson County, Florida",co2limits,62.42
county,12067,"Lafayette County, Florida",co2limits,48.94
county,12069,"Lake County, Florida",co2limits,61.15
county,12071,"Lee County, Florida",co2limits,63.4
county,12073,"Leon County, Florida",co2limits,69.68
county,12075,"Levy County, Florida",co2limits,57.63
county,12077,"Liberty County, Florida",co2limits,52.94
county,12079,"Madison County, Florida",co2limits,59.48
county,12081,"Manatee County, Florida",co2limits,65.17
county,12083,"Marion County, Florida",co2limits,61.59
county,12085,"Martin County, Florida",co2limits,58.72
county,12086,"Miami-Dade County, Florida",co2limits,73.31
county,12087,"Monroe County, Florida",co2limits,68.94
county,12089,"Nassau County, Florida",co2limits,53.71
county,12091,"Okaloosa County, Florida",co2limits,58.65
county,12093,"Okeechobee County, Florida",co2limits,57.55
county,12095,"Orange County, Florida",co2limits,69.08
county,12097,"Osceola County, Florida",co2limits,71.14
county,12099,"Palm Beach County, Florida",co2limits,71.9
county,12101,"Pasco County, Florida",co2limits,62.84
county,12103,"Pinellas County, Florida",co2limits,68.18
county,12105,"Polk County, Florida",co2limits,65.84
county,12107,"Putnam County, Florida",co2limits,51.85
county,12109,"St. Johns County, Florida",co2limits,59.79
county,12111,"St. Lucie County, Florida",co2limits,66.08
county,12113,"Santa Rosa County, Florida",co2limits,56.08
county,12115,"Sarasota County, Florida",co2limits,61.5
county,12117,"Seminole County, Florida",co2limits,64.5
county,12119,"Sumter County, Florida",co2limits,60.71
county,12121,"Suwannee County, Florida",co2limits,54.33
county,12123,"Taylor County, Florida",co2limits,53.93
county,12125,"Union County, Florida",co2limits,54.53
county,12127,"Volusia County, Florida",co2limits,64.12
county,12129,"Wakulla County, Florida",co2limits,55.19
county,12131,"Walton County, Florida",co2limits,58.38
county,12133,"Washington County, Florida",co2limits,50.43
county,13001,"Appling County, Georgia",co2limits,52.18
county,13003,"Atkinson County, Georgia",co2limits,55.16
county,13005,"Bacon County, Georgia",co2limits,51.41
county,13007,"Baker County, Georgia",co2limits,57.91
county,13009,"Baldwin County, Georgia",co2limits,61.88
county,13011,"Banks County, Georgia",co2limits,48.79
county,13013,"Barrow County, Georgia",co2limits,55.02
county,13015,"Bartow County, Georgia",co2limits,44.81
county,13017,"Ben Hill County, Georgia",co2limits,55.53
county,13019,"Berrien County, Georgia",co2limits,49.99
county,13021,"Bibb County, Georgia",co2limits,64.01
county,13023,"Bleckley County, Georgia",co2limits,49.59
county,13025,"Brantley County, Georgia",co2limits,44.57
county,13027,"Brooks County, Georgia",co2limits,59.69
county,13029,"Bryan County, Georgia",co2limits,56.89
county,13031,"Bulloch County, Georgia",co2limits,59.63
county,13033,"Burke County, Georgia",co2limits,60.21
county,13035,"Butts County, Georgia",co2limits,53.61
county,13037,"Calhoun County, Georgia",co2limits,66.74
county,13039,"Camden County, Georgia",co2limits,54.91
county,13043,"Candler County, Georgia",co2limits,55.28
county,13045,"Carroll County, Georgia",co2limits,55.64
county,13047,"Catoosa County, Georgia",co2limits,49.16
county,13049,"Charlton County, Georgia",co2limits,51.45
county,13051,"Chatham County, Georgia",co2limits,68.94
county,13053,"Chattahoochee County, Georgia",co2limits,66.76
county,13055,"Chattooga County, Georgia",co2limits,49.96
county,13057,"Cherokee County, Georgia",co2limits,57.83
county,13059,"Clarke County, Georgia",co2limits,72.19
county,13061,"Clay County, Georgia",co2limits,64.96
county,13063,"Clayton County, Georgia",co2limits,70.36
county,13065,"Clinch County, Georgia",co2limits,54.34
county,13067,"Cobb County, Georgia",co2limits,63.34
county,13069,"Coffee County, Georgia",co2limits,55.3
county,13071,"Colquitt County, Georgia",co2limits,56.02
county,13073,"Columbia County, Georgia",co2limits,54.28
county,13075,"Cook County, Georgia",co2limits,55.06
county,13077,"Coweta County, Georgia",co2limits,55.26
county,13079,"Crawford County, Georgia",co2limits,50.98
county,13081,"Crisp County, Georgia",co2limits,58.92
county,13083,"Dade County, Georgia",co2limits,51.41
county,13085,"Dawson County, Georgia",co2limits,50.85
county,13087,"Decatur County, Georgia",co2limits,60.57
county,13089,"DeKalb County, Georgia",co2limits,74.07
county,13091,"Dodge County, Georgia",co2limits,54.36
county,13093,"Dooly County, Georgia",co2limits,61.99
county,13095,"Dougherty County, Georgia",co2limits,70.83
county,13097,"Douglas County, Georgia",co2limits,68.01
county,13099,"Early County, Georgia",co2limits,48.02
county,13101,"Echols County, Georgia",co2limits,47.8
county,13103,"Effingham County, Georgia",co2limits,48.15
county,13105,"Elbert County, Georgia",co2limits,56.34
county,13107,"Emanuel County, Georgia",co2limits,56.89
county,13109,"Evans County, Georgia",co2limits,57.08
county,13111,"Fannin County, Georgia",co2limits,52.83
county,13113,"Fayette County, Georgia",co2limits,63.59
county,13115,"Floyd County, Georgia",co2limits,53.2
county,13117,"Forsyth County, Georgia",co2limits,60.5
county,13119,"Franklin County, Georgia",co2limits,50.6
county,13121,"Fulton County, Georgia",co2limits,74.97
county,13123,"Gilmer County, Georgia",co2limits,56.17
county,13125,"Glascock County, Georgia",co2limits,44.89
county,13127,"Glynn County, Georgia",co2limits,59.92
county,13129,"Gordon County, Georgia",co2limits,51.25
county,13131,"Grady County, Georgia",co2limits,57.74
county,13133,"Greene County, Georgia",co2limits,57.63
county,13135,"Gwinnett County, Georgia",co2limits,69.45
