geotype,geoid,geoname,varname,x2021,Cluster
county,5039,"Dallas County, AR",co2limits,60.11,Cluster 1
county,5041,"Desha County, AR",co2limits,61.8,Cluster 1
county,5043,"Drew County, AR",co2limits,59.63,Cluster 1
county,5045,"Faulkner County, AR",co2limits,60.66,Cluster 1
county,5047,"Franklin County, AR",co2limits,51.81,Cluster 1
county,5049,"Fulton County, AR",co2limits,53.11,Cluster 1
county,5051,"Garland County, AR",co2limits,58.39,Cluster 1
county,5053,"Grant County, AR",co2limits,49.93,Cluster 1
county,5055,"Greene County, AR",co2limits,53.54,Cluster 1
county,5057,"Hempstead County, AR",co2limits,58.39,Cluster 1
county,5059,"Hot Spring County, AR",co2limits,53.72,Cluster 1
county,5061,"Howard County, AR",co2limits,56.05,Cluster 1
county,5063,"Independence County, AR",co2limits,41.88,Cluster 1
county,5065,"Izard County, AR",co2limits,55.63,Cluster 1
county,5067,"Jackson County, AR",co2limits,56.85,Cluster 1
county,5069,"Jefferson County, AR",co2limits,60.15,Cluster 1
county,5071,"Johnson County, AR",co2limits,56.42,Cluster 1
county,5073,"Lafayette County, AR",co2limits,58.03,Cluster 1
county,5075,"Lawrence County, AR",co2limits,51.51,Cluster 1
county,5077,"Lee County, AR",co2limits,65.92,Cluster 1
county,5079,"Lincoln County, AR",co2limits,55.99,Cluster 1
county,5081,"Little River County, AR",co2limits,50.07,Cluster 1
county,5083,"Logan County, AR",co2limits,52.99,Cluster 1
county,5085,"Lonoke County, AR",co2limits,52.99,Cluster 1
county,5087,"Madison County, AR",co2limits,54.57,Cluster 1
county,5089,"Marion County, AR",co2limits,54.63,Cluster 1
county,5091,"Miller County, AR",co2limits,55.8,Cluster 1
county,5093,"Mississippi County, AR",co2limits,59.12,Cluster 1
county,5095,"Monroe County, AR",co2limits,61.46,Cluster 1
county,5097,"Montgomery County, AR",co2limits,53.48,Cluster 1
county,5099,"Nevada County, AR",co2limits,57.07,Cluster 1
county,5101,"Newton County, AR",co2limits,52.6,Cluster 1
county,5103,"Ouachita County, AR",co2limits,60.01,Cluster 1
county,5105,"Perry County, AR",co2limits,54.54,Cluster 1
county,5107,"Phillips County, AR",co2limits,67.6,Cluster 1
county,5109,"Pike County, AR",co2limits,51.96,Cluster 1
county,5111,"Poinsett County, AR",co2limits,52.56,Cluster 1
county,5113,"Polk County, AR",co2limits,53.65,Cluster 1
county,5115,"Pope County, AR",co2limits,54.91,Cluster 1
county,5117,"Prairie County, AR",co2limits,54.73,Cluster 1
county,5119,"Pulaski County, AR",co2limits,68.03,Cluster 1
county,5121,"Randolph County, AR",co2limits,53.15,Cluster 1
county,5123,"St. Francis County, AR",co2limits,64.42,Cluster 1
county,5125,"Saline County, AR",co2limits,54.34,Cluster 1
county,5127,"Scott County, AR",co2limits,53.05,Cluster 1
county,5129,"Searcy County, AR",co2limits,55.2,Cluster 1
county,5131,"Sebastian County, AR",co2limits,59.09,Cluster 1
county,5133,"Sevier County, AR",co2limits,60.05,Cluster 1
county,5135,"Sharp County, AR",co2limits,54.86,Cluster 1
county,5137,"Stone County, AR",co2limits,54.94,Cluster 1
county,5139,"Union County, AR",co2limits,52.81,Cluster 1
county,5141,"Van Buren County, AR",co2limits,53.96,Cluster 1
county,5143,"Washington County, AR",co2limits,65.42,Cluster 1
county,5145,"White County, AR",co2limits,54.08,Cluster 1
county,5147,"Woodruff County, AR",co2limits,58.31,Cluster 1
county,5149,"Yell County, AR",co2limits,54.74,Cluster 1
county,9001,"Fairfield County, CT",co2limits,74.11,Cluster 1
county,9003,"Hartford County, CT",co2limits,69.99,Cluster 1
county,9005,"Litchfield County, CT",co2limits,62.54,Cluster 1
county,9007,"Middlesex County, CT",co2limits,68.99,Cluster 1
county,9009,"New Haven County, CT",co2limits,69.68,Cluster 1
county,9011,"New London County, CT",co2limits,66.38,Cluster 1
county,9013,"Tolland County, CT",co2limits,67.97,Cluster 1
county,9015,"Windham County, CT",co2limits,61.54,Cluster 1
county,10001,"Kent County, DE",co2limits,64.71,Cluster 1
county,10003,"New Castle County, DE",co2limits,71.45,Cluster 1
county,10005,"Sussex County, DE",co2limits,64.66,Cluster 1
county,12001,"Alachua County, FL",co2limits,72.16,Cluster 1
county,12003,"Baker County, FL",co2limits,50.06,Cluster 1
county,12005,"Bay County, FL",co2limits,56.91,Cluster 1
county,12007,"Bradford County, FL",co2limits,52.88,Cluster 1
county,12009,"Brevard County, FL",co2limits,63.26,Cluster 1
county,12011,"Broward County, FL",co2limits,72.8,Cluster 1
county,12013,"Calhoun County, FL",co2limits,54.19,Cluster 1
county,12015,"Charlotte County, FL",co2limits,61.69,Cluster 1
county,12017,"Citrus County, FL",co2limits,55.98,Cluster 1
county,12019,"Clay County, FL",co2limits,56.5,Cluster 1
county,12021,"Collier County, FL",co2limits,60.55,Cluster 1
county,12023,"Columbia County, FL",co2limits,56.63,Cluster 1
county,12027,"DeSoto County, FL",co2limits,63.47,Cluster 1
county,12029,"Dixie County, FL",co2limits,55.2,Cluster 1
county,12031,"Duval County, FL",co2limits,62.53,Cluster 1
county,12033,"Escambia County, FL",co2limits,62.95,Cluster 1
county,12035,"Flagler County, FL",co2limits,62.06,Cluster 1
county,12037,"Franklin County, FL",co2limits,57.87,Cluster 1
county,12039,"Gadsden County, FL",co2limits,69.11,Cluster 1
county,12041,"Gilchrist County, FL",co2limits,56.58,Cluster 1
county,12043,"Glades County, FL",co2limits,60.48,Cluster 1
county,12045,"Gulf County, FL",co2limits,57.05,Cluster 1
county,12047,"Hamilton County, FL",co2limits,57.82,Cluster 1
county,12049,"Hardee County, FL",co2limits,54.64,Cluster 1
county,12051,"Hendry County, FL",co2limits,69.51,Cluster 1
