State,2015,2016,2017,2018,2019,2020,2021
AK,28.377611422357933,29.541593620492012,28.148191013865333,29.848038975192477,29.707636978917094,30.774524067499076,28.18729989214378
AL,8.62494095150537,7.269939161751323,9.176393972032145,10.303996033807017,10.616535040477768,12.377056133818735,10.737540418905661
AR,9.076310144877661,8.279882727883516,7.291248338940526,6.791422121135963,8.892163657101799,10.617033915708275,8.892412289194079
AZ,9.4960832311259,10.80158642816859,11.779914109131767,11.49677139795875,10.805598672615037,12.06740787879287,13.429503337102524
CA,30.155036410114537,39.80186655665628,47.206483153842434,43.39099335710351,48.19277504896877,42.57810597285671,41.05426251502703
CO,17.461932828816938,21.55518309221426,22.296973972114607,22.631244511501567,24.586998612803644,30.626572357159827,32.7023871498726
CT,2.945419480893592,3.077172204722856,3.4110343493876365,3.6301168429680764,3.3211204858422416,3.240773155565793,3.4319553971297627
DC,57.67255813953488,69.00515207783037,70.53431233270028,71.29747513582332,36.74000459558823,33.58809372265097,35.04965644325807
DE,1.6637119100804787,1.4246968450490713,1.575045064178434,1.8282888753147912,2.2908650931936876,2.524199999538938,3.1502682093704353
FL,2.269349331549682,2.1160188428669455,2.5602248302813253,3.1643973815816926,3.4854798650057424,4.292452847301825,5.456965720830254
GA,5.458908378783313,5.873419999954941,6.407561790636677,7.8942723734926235,8.46519861401955,11.588850425078883,11.466348148429981
HI,13.238005830327584,14.454491227147914,14.149674186240086,13.255711855322156,12.138792856100732,15.871197097395653,19.020341605851023
IA,33.69446594713946,39.050698655974806,39.063112647053856,35.47070841640197,43.62726999388647,59.421658031333955,57.29273649557498
ID,74.70232994693656,78.18852479297615,81.76734522785206,81.49302562092441,76.3492879096464,76.08303905856198,70.22159778421519
IL,5.902462794410412,6.039907355862525,7.036870990117515,6.668994196021207,8.162581316993395,9.706701495601717,11.087584193654822
IN,5.286413478240386,5.880921156517973,6.213038760335748,5.64995267064468,7.07997270894491,8.176196770398812,9.818708733881337
KS,24.339791640910498,29.836881691847378,36.69453046299487,36.75328121351966,41.695608661469684,44.218388595916515,45.63498844756537
KY,4.601912904917041,4.926354214948218,6.860683512160229,6.202467100322968,6.476769513382657,8.491738374773863,7.634534848746598
LA,3.4353938855439234,3.7096488928878144,3.7324113529240153,3.7095684113475706,3.6088700484815224,3.333022008940977,3.439829036453544
MA,6.813591947308807,7.014928780442223,8.619945131545226,11.181615023051567,13.562132209338362,16.963299188681344,17.77556814528098
