State,2015,2016,2017,2018,2019,2020,2021
AK,4.042010161449619,4.6276172900219095,4.238920667837642,4.315659892298422,4.057598372010684,4.154670199555025,3.7778232809288705
AL,13.248690925067194,12.467667361041716,13.998129202848913,14.481993559390984,14.55539602017459,15.78643553514044,14.36855468583403
AR,13.152022953771958,12.468494935780388,11.706174866490803,11.042253421458597,12.200342228695156,12.174993042743324,10.89511956917102
AZ,9.039539455447676,10.047357040584929,10.859494104592791,10.898013344729124,10.376131035134529,11.502065434680265,12.462193055660926
CA,15.6831310010949,19.2657660798447,22.65071005222951,20.774739780536542,23.624389733767057,24.712291382220208,24.971704058612232
CO,10.20006882349216,12.527212930685778,12.781650032972895,12.620010327066877,13.152534408660143,16.084052197176447,17.037742053256643
CT,6.124621991484413,6.5901568927633285,6.486436995913203,6.3305412988260175,6.316845481494314,6.458824081719444,6.667052849060612
DC,3.383159956394006,4.41398466276191,4.746382907133244,5.149292722100742,6.078185116520144,6.955561689207839,7.322125553302371
DE,3.457497868084669,3.274583080099483,3.586923505864112,3.600507252546345,3.956416442466648,3.850372970601141,3.958546197635382
FL,7.662283292968734,7.463339550102208,7.879421453643591,7.892243638904425,8.04446937469374,8.800785138060403,9.218446541182262
GA,12.238330521476136,12.126873182528525,12.059382614024509,12.355021118546308,13.056063065806987,15.266969705987382,14.7477977060223
HI,10.895166427185329,12.047807104067179,11.540264535764253,11.276514808441265,10.704766004771386,15.628942375507854,14.895449685160983
IA,38.336844433583124,41.55847852012754,41.50105632227959,39.00923998702588,43.78731979328758,54.872848966290654,56.56495856721288
ID,53.756080925901436,53.073314290660434,59.14625882608048,60.20138847127843,53.794461569337,51.28789035470992,44.62640048204416
IL,6.560433725241073,6.8683420210551835,7.188448567456248,6.753046882296173,7.270352160040409,8.137883351074764,8.927303041714293
IN,6.952725621516157,7.487268441663778,7.731302464542729,7.367764947850993,7.600763535541022,8.309961694202375,9.089163547041553
KS,15.214795924582855,18.68713538785861,23.31635792645405,22.529104744725554,24.732011432248,27.71563023422753,29.468732794544096
KY,5.373982332376377,5.681135757114717,6.8307698405096815,6.432018834608594,6.641271035655779,7.377032381972898,6.829926458432216
LA,4.342612234058314,4.712032222864112,4.213839922592828,4.113878348620805,3.8228029282945726,3.6914892180145813,3.6419783035893625
MA,8.0063309932533,8.643952689175014,8.798091617416654,9.402312088181967,9.591252087390476,11.142324191052294,11.384329629919671
MD,7.008600702727498,7.228020804345866,8.346224464716853,8.427576679672185,7.832875385137375,7.427721937473651,7.680294976596012
ME,66.95741630025063,61.82967768509937,67.99176260203836,70.30625832223701,71.83559301558391,67.26273353094422,59.70668699825089
MI,9.002562409153255,8.994072858599722,9.103960681769795,9.045878759659958,8.964119990720214,9.754535628459632,9.660164890408204
MN,19.333650213200013,18.983973365432227,19.813828530541436,19.125221367163604,19.361434719336337,21.099504979668808,21.007942179186117
MO,5.625824917191995,5.77955901998995,6.125684161303305,6.397770907427784,7.4500681376884215,7.775479516007231,9.255426716793197
MS,6.692273360472822,7.184931685878262,6.785506849444442,6.700802391611986,6.18968485876494,6.239487922854401,5.996042704007306
MT,30.74328176669581,32.66848258027052,34.21041768349687,35.59131122709863,31.350970298513754,39.42641208346724,34.85110664504331
NC,9.322289034451614,9.890216919980876,10.910581885275747,11.89650183459126,12.345596563468838,14.432563380669972,13.129472068689518
ND,15.618680309962784,18.913857114490128,23.905448877248638,22.444467968978778,22.906409431223235,26.10161432275823,25.68900840671263
NE,21.12474981095401,22.65204879969786,26.146950648188287,25.112779774255888,27.019648484816354,29.008870387662967,30.33208087364296
NH,20.259769060869512,19.382300595614478,21.24784111908753,19.559731141150895,19.146722803055177,17.352784732503736,16.368400205193474
NJ,4.024746572581938,4.242106518519991,4.265996341367229,4.13143859046825,4.414133078368857,4.874553961593619,4.8933463439546205
NM,6.8553575483360945,9.362983479724065,11.189019628074007,14.090412146478506,14.596775202157833,15.935803754705352,20.37235426117702
NV,13.835902032227265,15.652299540986903,17.140755924485788,17.92225104757304,18.965514625906582,21.503279955182226,22.356374812895474
NY,13.638649043984818,14.263346371858399,15.744194464268293,14.904630218360197,15.536525450478269,16.85182532558724,16.329975727653522
OH,4.983286629556782,5.171017456979657,5.065507393736917,4.905295708121215,5.167868540285194,5.109874106067351,5.365144041723886
OK,13.41372221576316,17.608673298191306,20.276642850024842,20.85031856556096,23.262981430824574,24.19873049013477,26.300629173206374
OR,75.81890414271129,80.88088507194726,83.865200476328,80.03892885131218,67.09447007383675,78.75389895506339,71.38925261565451
PA,5.577169123490923,5.639634944386631,5.871915880537119,5.994909067028714,5.516865398785617,5.577859964490425,5.343409937914939
RI,4.637346270520079,5.077604368201556,5.630495427098414,5.361250620453344,6.751729017826573,8.22568355394893,7.989542081587143
SC,9.496007695766073,9.323347443829372,9.718671215064395,10.189041163482058,10.331533639616612,11.458472594408308,10.775356723691528
SD,63.12386248273717,66.2390540961017,66.16319591630932,66.33456195304407,69.0817746615679,73.54302884925394,86.16966365219581
TN,11.992785250332442,9.884674362757863,10.792069561109553,11.477170095912053,11.113322017104291,13.123101893865766,11.52885098366304
TX,5.589129626668384,6.789531111539585,7.546373686385301,7.806214056096664,8.195407011989955,9.41314752555407,10.002412678482319
UT,3.9776306849160212,5.9163720971855565,8.019096597497102,7.322137740204254,7.077345639097656,7.784577077551799,7.965798900913406
VA,8.959440766984477,8.58015857231607,8.681260360359893,9.228643706759401,8.565428155461186,9.074814951276625,10.195405382401772
VT,44.119490508110864,42.94861835534347,45.666964086549186,49.175555555555555,47.708941884291754,47.42640053353659,46.71942813377585
WA,74.06266481177717,74.16221538846276,76.35962067447223,75.03039528001358,59.24843296631788,77.97204307711297,69.65941255094151
WI,13.156349190204363,13.455094824296946,13.10348736137114,12.858991206030945,13.305628711728538,12.925334817015651,12.04564939581682
WV,4.04732220441163,4.201739661491673,4.535589489513487,4.869697217601556,4.643314108081989,4.879639951264571,4.361641600377873
WY,6.784052063052876,7.878456446983299,7.711313343394482,6.9480728965696095,7.739586383403281,9.83127577930757,13.419651836056145
