State,2018,2019,2020,2021
AK,29.84803897519248,29.70763697891709,30.77452406749908,28.18729989214378
AL,10.303996033807016,10.616535040477768,12.377056133818735,10.73754041890566
AR,6.791422121135963,8.892163657101799,10.617033915708276,8.892412289194079
AZ,11.49677139795875,10.805598672615035,12.06740787879287,13.429503337102524
CA,43.39099335710351,48.19277504896877,42.57810597285671,41.05426251502703
CO,22.631244511501567,24.586998612803644,30.626572357159827,32.7023871498726
CT,3.630116842968077,3.3211204858422416,3.240773155565793,3.4319553971297627
DC,71.29747513582332,36.74000459558823,33.58809372265097,35.04965644325807
DE,1.8282888753147912,2.290865093193688,2.524199999538938,3.1502682093704357
FL,3.1643973815816926,3.4854798650057424,4.292452847301825,5.456965720830254
GA,7.894272373492623,8.46519861401955,11.588850425078885,11.46634814842998
HI,13.255711855322156,12.138792856100732,15.871197097395653,19.020341605851023
IA,35.47070841640197,43.62726999388647,59.42165803133396,57.29273649557498
ID,81.49302562092441,76.3492879096464,76.08303905856198,70.22159778421519
IL,6.668994196021207,8.162581316993395,9.706701495601717,11.087584193654822
IN,5.64995267064468,7.07997270894491,8.176196770398812,9.818708733881335
KS,36.75328121351966,41.69560866146968,44.21838859591652,45.63498844756537
KY,6.202467100322968,6.476769513382657,8.491738374773863,7.634534848746598
LA,3.70956841134757,3.6088700484815215,3.333022008940977,3.439829036453544
MA,11.181615023051569,13.562132209338362,16.963299188681344,17.77556814528098
MD,9.858510962488092,9.136884006459406,8.623815285546874,9.52387054970052
ME,73.74724086271242,78.62960637239424,76.73520667959059,66.11074591524438
MI,7.7498352319695165,7.91452636796939,9.24707136746961,9.62133568712059
MN,23.49530092209703,24.34804062487001,27.64537888043726,27.19747396813551
MO,4.623226096494259,7.192967348188782,7.4805258709536915,11.01233263076411
MS,2.780893522295268,2.60419995767052,2.7745313934749043,2.645285707519757
MT,48.25231470035744,44.70761837961463,59.40113235862844,51.2937970828273
NC,11.819927340211937,12.738348076832168,15.469659359623872,14.218477231629882
ND,32.650475635276806,34.97797815478839,38.13687002008516,39.33322020921084
NE,19.075806947619416,23.238933642271764,28.8985649174254,28.667722783402844
NH,18.422357705401648,17.2490256756753,16.033818498648795,14.317301425314836
NJ,2.4900617690603823,2.69824849412354,3.218553456482075,3.2612181907963618
NM,23.33366346651718,24.156274304265708,27.1565055619222,35.60438180270067
NV,26.305483027897296,28.441889452053488,28.78967572955624,30.743501120739225
NY,26.891554035445253,28.29033540229251,28.2346013167198,28.53402693949208
OH,2.204259628341271,2.692231747062897,2.8568540258869923,3.557456679154435
OK,33.98538505944986,38.40610343990188,39.06753798623648,44.10208081493922
OR,69.68173605020735,62.18358274608439,67.47130072681428,65.03833730517182
PA,4.409276599115178,3.606738173204802,3.422629597141897,3.268475585323046
RI,4.807052488060964,6.195160460432115,6.948849570654776,7.174988183348521
SC,5.1434930638950105,5.0886694767656975,7.085070773775914,6.159138975705983
SD,72.1516984723688,73.80280915362454,80.50348569356788,82.74814671412466
TN,13.321000702636976,13.11519878585801,17.172837634461715,14.370154402996947
TX,17.099010442860955,18.81663990075385,21.843615598185696,24.23172828666891
UT,11.353668217007645,10.893640629645914,12.523656172029844,12.447921176245288
VA,5.663582643588564,5.278020821327464,5.571835646912012,7.679376990879005
VT,99.78739423350746,99.91645551266969,99.94293750137672,99.6621440497072
WA,77.61144318119534,69.77979710315756,75.03195499733916,74.2182764383464
WI,8.351184390908367,9.381642074423182,9.405907007236705,8.053977131292815
WV,5.379449035725417,5.2202982280709,6.170473660053695,5.07148490941811
WY,10.916180503978389,12.659389942116576,16.100541978426858,21.668697158060617
